date,med_fig7b_exit1,med_fig7d_exit1,reality_report,reality
NA,1225,NA,NA,NA
NA,1225,NA,NA,NA
NA,1225,NA,NA,NA
NA,1225,NA,NA,NA
NA,1225,NA,NA,NA
NA,1225,NA,NA,NA
NA,1225,NA,NA,NA
NA,1225,NA,NA,NA
NA,1225,NA,NA,NA
NA,1225,NA,NA,NA
NA,1225,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1213,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1200,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1190,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1176,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1166,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1147,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1142,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1131,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1121,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
NA,1122,NA,NA,NA
2020-08-29,NA,NA,NA,159
2020-08-30,NA,NA,NA,162
2020-08-31,NA,NA,NA,166
